stop_id,hour,is_weekday,trips_per_hour,peak_hour,stop_name,stop_lat,stop_lon,rain_mm,is_rain,heavy_rain,temperature,avg_travel_time,median_travel_time,p90_travel_time,high_congestion,delay_overcrowding
0100OOA,6,True,1,1,Kwa Soko,-1.149789423,36.94882929,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100OTN,6,True,1,1,Hilton,-1.150637001,36.94259048,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100OTS,6,True,1,1,Posta,-1.170669078,36.70802593,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100PEF,6,True,2,1,Pefa/All Nations/Muchatha,-1.197129,36.782933,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100PNA,6,True,1,1,Amani Plaza,-1.259625882,36.81713551,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100POA,6,True,1,1,Pa Mutoori,-1.202194422,36.76717132,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100POW,6,True,1,1,Power,-1.21731,36.778253,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100PSA,6,True,1,1,La Philla Carwash,-1.190634102,36.90608829,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100RBJ,6,True,4,1,Ruaka/Banana Junction/Tuskys Supermarket,-1.20722,36.78602,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,1
0100RBJ,7,True,1,1,Ruaka/Banana Junction/Tuskys Supermarket,-1.20722,36.78602,0.0571428571428571,0.5,0.0,20.92142857142857,3847.35,3883.0,5704.700000000003,0.0,0
0100RCN,6,True,2,1,Ruaka Catholic Church Entrance,-1.20614,36.78059,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100REE,6,True,1,1,PCEA Ndenderu,-1.195537216,36.75203025,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100RES,6,True,4,1,Runda Estate Entrance,-1.21873,36.80177,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,1
0100RES,7,True,1,1,Runda Estate Entrance,-1.21873,36.80177,0.0571428571428571,0.5,0.0,20.92142857142857,3847.35,3883.0,5704.700000000003,0.0,0
0100RGH,6,True,3,1,Jamhuri High School,-1.272203922,36.82239532,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,1
0100RJI,6,True,1,1,Ruiru Road Junction,-1.152105331,36.9199419,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100RKH,6,True,4,1,Runda/Karura Carwash,-1.22091,36.80144,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,1
0100RKH,7,True,1,1,Runda/Karura Carwash,-1.22091,36.80144,0.0571428571428571,0.5,0.0,20.92142857142857,3847.35,3883.0,5704.700000000003,0.0,0
0100RRD,6,True,2,1,Ruaka Redeemed Gospel Church,-1.20651,36.78206,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100RRJ,6,True,3,1,Redhill Road Junction,-1.23398,36.80339,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,1
0100RRJ,7,True,2,1,Redhill Road Junction,-1.23398,36.80339,0.0571428571428571,0.5,0.0,20.92142857142857,3847.35,3883.0,5704.700000000003,0.0,0
0100RRP,6,True,4,1,Rosslyn Road/Karura Community Chapel,-1.216397882,36.79927468,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,1
0100RRP,7,True,1,1,Rosslyn Road/Karura Community Chapel,-1.216397882,36.79927468,0.0571428571428571,0.5,0.0,20.92142857142857,3847.35,3883.0,5704.700000000003,0.0,0
0100RUD,6,True,1,1,Runda Road,-1.215553,36.814957,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100RUI,6,True,1,1,Marurui/JuaKali,-1.211281747,36.87443823,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100RYA,6,True,2,1,Rumenye,-1.199644804,36.75815105,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100S/R,7,True,1,1,Rosslyn Road/Riviera,-1.217128962,36.80043072,0.0571428571428571,0.5,0.0,20.92142857142857,3847.35,3883.0,5704.700000000003,0.0,0
0100SAR,6,True,1,1,Car Wash,-1.217005616,36.77721083,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100SHT,6,True,2,1,Sacred Heart,-1.186278,36.767456,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100SKU,6,True,1,1,Kibutu Stage,-1.188273758,36.77131802,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100SLG,6,True,2,1,Slaughter/Bypass,-1.20578,36.78005,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100SNW,6,True,1,1,Good News/Nyari Gate 2,-1.225479841,36.79151773,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100STI,6,True,1,1,Site,-1.178033084,36.7224589,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100T1I,6,True,1,1,Barrier 1/Nyari Gate 1,-1.226568818,36.79569393,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100TCP,6,True,3,1,Total/City Park,-1.25943,36.82673,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,1
