file,avg_travel_time,median_travel_time,p90_travel_time,hour,high_congestion
matonwalk-120.csv,4810.97,4733.0,6755.7,12.0,1
matonwalk-1200.csv,8339.31,8205.0,13764.700000000003,12.0,1
matonwalk-1201.csv,9740.78,9853.0,15872.200000000003,12.0,1
matonwalk-1202.csv,11342.31,11993.0,17899.3,12.0,1
matonwalk-1203.csv,12290.26,11993.0,19307.000000000004,12.0,1
matonwalk-1204.csv,13727.95,16004.0,18792.7,12.0,1
matonwalk-1205.csv,10598.69,6152.0,19419.7,12.0,1
matonwalk-1206.csv,9332.05,6152.0,20142.8,12.0,1
matonwalk-1207.csv,8569.33,5689.0,16437.30000000003,12.0,1
matonwalk-1208.csv,8851.43,5689.0,18035.0,12.0,1
matonwalk-1209.csv,9312.21,5689.0,18035.0,12.0,1
matonwalk-121.csv,4761.0,4841.0,6614.3,12.0,1
matonwalk-1210.csv,11163.36,9072.0,18071.0,12.0,1
matonwalk-1211.csv,13502.68,10015.0,33663.0,12.0,1
matonwalk-1212.csv,14842.04,14922.5,35671.200000000004,12.0,1
matonwalk-1213.csv,18376.2,17433.0,37916.8,12.0,1
matonwalk-1214.csv,21069.65,17900.0,40129.1,12.0,1
matonwalk-1215.csv,22022.95,33565.0,41344.8,12.0,1
matonwalk-1216.csv,23467.88,35941.5,42277.1,12.0,1
matonwalk-1217.csv,25712.05,39034.0,43522.4,12.0,1
matonwalk-1218.csv,22898.86,32077.0,41672.0,12.0,1
matonwalk-1219.csv,18907.4,5493.5,41672.0,12.0,1
matonwalk-122.csv,4723.48,4832.0,6452.1,12.0,0
matonwalk-1220.csv,4954.46,4654.0,8065.900000000001,12.0,1
matonwalk-1221.csv,4334.82,4281.5,6588.7,12.0,0
matonwalk-1222.csv,3762.56,3777.5,5752.500000000001,12.0,0
matonwalk-1223.csv,3510.48,3568.0,5652.9000000000015,12.0,0
matonwalk-1224.csv,4245.24,4372.0,5850.400000000001,12.0,0
matonwalk-1225.csv,4625.16,4682.5,6111.300000000001,12.0,0
matonwalk-1226.csv,4526.26,4526.0,5913.0,12.0,0
matonwalk-1227.csv,4255.39,4250.5,5583.900000000001,12.0,0
matonwalk-1228.csv,3914.97,3888.0,5337.900000000001,12.0,0
matonwalk-1229.csv,3771.69,3796.5,4946.200000000001,12.0,0
matonwalk-123.csv,4642.51,4793.5,6206.400000000001,12.0,0
matonwalk-1230.csv,3782.42,3651.5,5163.3,12.0,0
matonwalk-1231.csv,3796.74,3819.5,5334.800000000001,12.0,0
matonwalk-1232.csv,3312.05,3249.0,5134.600000000001,12.0,0
matonwalk-1233.csv,4220.88,4169.0,6362.400000000003,12.0,0
matonwalk-1234.csv,5579.47,5300.5,8463.100000000002,12.0,1
matonwalk-1235.csv,6593.37,6102.0,10496.500000000004,12.0,1
matonwalk-1236.csv,7203.43,6552.0,12521.400000000001,12.0,1
matonwalk-1237.csv,6812.06,6342.5,10968.100000000002,12.0,1
matonwalk-1238.csv,7172.71,6424.0,12738.7,12.0,1
matonwalk-1239.csv,8059.84,7632.0,14135.300000000003,12.0,1
matonwalk-124.csv,3999.79,3983.0,6139.2,12.0,0
matonwalk-1240.csv,8800.03,8004.5,15958.4,12.0,1
matonwalk-1241.csv,9508.88,9326.5,15413.7,12.0,1
matonwalk-1242.csv,8657.83,8279.5,14160.6,12.0,1
matonwalk-1243.csv,7818.81,7598.5,12361.500000000002,12.0,1
matonwalk-1244.csv,6519.91,6323.5,9461.300000000001,12.0,1
matonwalk-1245.csv,5380.95,5288.5,7760.000000000003,12.0,1
matonwalk-1246.csv,4153.93,4144.0,6204.0,12.0,0
matonwalk-1247.csv,4148.0,4144.0,6204.0,12.0,0
matonwalk-1248.csv,4250.07,4371.5,6204.0,12.0,0
matonwalk-1249.csv,4853.34,4930.0,6862.000000000001,12.0,1
matonwalk-125.csv,3347.32,3215.5,5196.500000000001,12.0,0
matonwalk-1250.csv,4782.41,4681.0,7187.300000000001,12.0,1
matonwalk-1251.csv,5337.72,5108.5,9088.7,12.0,1
matonwalk-1252.csv,6259.73,5923.0,10467.200000000004,12.0,1
matonwalk-1253.csv,7456.9,7166.0,12620.000000000004,12.0,1
matonwalk-1254.csv,9537.54,9734.5,14859.800000000001,12.0,1
matonwalk-1255.csv,11006.18,11389.5,16754.200000000004,12.0,1
matonwalk-1256.csv,12719.66,14595.0,17970.800000000003,12.0,1
matonwalk-1257.csv,13491.17,15825.0,18860.0,12.0,1
matonwalk-1258.csv,9816.64,6204.0,19452.2,12.0,1
matonwalk-1259.csv,9741.04,6152.0,19697.200000000004,12.0,1
matonwalk-126.csv,3855.21,3780.5,5821.900000000004,12.0,0
matonwalk-1260.csv,9043.63,6152.0,16104.0,12.0,1
matonwalk-1261.csv,9613.88,6514.0,18035.0,12.0,1
matonwalk-1262.csv,10153.99,7669.5,18035.0,12.0,1
matonwalk-1263.csv,10384.16,5530.5,17842.0,12.0,1
matonwalk-1264.csv,12402.02,10039.0,33224.5,12.0,1
matonwalk-1265.csv,14788.77,17394.0,35331.200000000004,12.0,1
matonwalk-1266.csv,15060.7,6204.0,37594.8,12.0,1
matonwalk-1267.csv,18395.6,6925.0,39748.9,12.0,1
matonwalk-1268.csv,22864.48,18035.0,41876.6,12.0,1
matonwalk-1269.csv,27106.36,36926.0,42330.1,12.0,1
matonwalk-127.csv,4686.67,4319.0,7167.400000000001,12.0,0
matonwalk-1270.csv,23956.92,37587.0,41856.0,12.0,1
matonwalk-1271.csv,20770.61,6204.0,41941.0,12.0,1
matonwalk-1272.csv,17233.3,5162.0,41941.0,12.0,1
matonwalk-1273.csv,5934.72,5457.0,9370.900000000003,12.0,1
matonwalk-1274.csv,4949.58,4590.0,7717.8,12.0,1
matonwalk-1275.csv,4102.44,3937.5,6447.000000000001,12.0,0
matonwalk-1276.csv,3186.92,3022.5,5311.700000000001,12.0,0
matonwalk-1277.csv,3848.92,3717.0,5881.700000000001,12.0,0
matonwalk-1278.csv,4316.96,4432.5,5913.1,12.0,0
matonwalk-1279.csv,4424.89,4594.0,6127.500000000001,12.0,0
matonwalk-128.csv,5216.97,5230.5,7357.100000000002,12.0,1
matonwalk-1280.csv,4173.38,4279.0,5811.000000000002,12.0,0
matonwalk-1281.csv,3629.33,3646.5,5374.900000000002,12.0,0
matonwalk-1282.csv,3486.29,3504.5,4941.9000000000015,12.0,0
matonwalk-1283.csv,3567.68,3544.5,5110.400000000001,12.0,0
matonwalk-1284.csv,3581.9,3734.5,5173.400000000001,12.0,0
matonwalk-1285.csv,3639.76,3658.5,5647.8,12.0,0
matonwalk-1286.csv,4383.06,4124.0,6768.2,12.0,0
matonwalk-1287.csv,5199.07,5040.5,7900.0,12.0,1
matonwalk-1288.csv,5987.11,5882.0,8496.300000000001,12.0,1
