stop_id,hour,is_weekday,trips_per_hour,peak_hour,stop_name,stop_lat,stop_lon,low_supply_peak,distance_from_cbd,avg_travel_time_travel,median_travel_time_travel,p90_travel_time_travel,high_congestion_travel,severe_delay,avg_travel_time_zscore_travel,route_id,avg_travel_time_cong,median_travel_time_cong,p90_travel_time_cong,high_congestion_cong,severe_congestion,avg_travel_time_zscore_cong,median_travel_time_zscore,rain_mm,is_rain,heavy_rain,moderate_rain,temperature_zscore
0100MCY,6,1,1,1,Mothers Mercys/GD,-1.179957,36.725401,0,0.140566889088434,4279.27,4217.5,6212.200000000002,0,0,-0.692639915248366,matonwalk-6.csv,4279.27,4217.5,6212.200000000002,0,0,-0.6910196680458476,-0.5053200085185661,0.08571428571428573,1,0,1,-0.14698901252456917
0100MFB,6,1,2,1,Mifereji/God's Ability,-1.20213,36.76693,0,0.09812728942551939,4279.27,4217.5,6212.200000000002,0,0,-0.692639915248366,matonwalk-6.csv,4279.27,4217.5,6212.200000000002,0,0,-0.6910196680458476,-0.5053200085185661,0.08571428571428573,1,0,1,-0.14698901252456917
0100MIS,6,1,2,1,Mary Immaculate Secondary School/Muchatha,-1.190679,36.774297,0,0.10489540302606264,4279.27,4217.5,6212.200000000002,0,0,-0.692639915248366,matonwalk-6.csv,4279.27,4217.5,6212.200000000002,0,0,-0.6910196680458476,-0.5053200085185661,0.08571428571428573,1,0,1,-0.14698901252456917
0100MOM,6,1,2,1,Mombasa,-1.1778600000000001,36.760345,0,0.12253020331738496,4279.27,4217.5,6212.200000000002,0,0,-0.692639915248366,matonwalk-6.csv,4279.27,4217.5,6212.200000000002,0,0,-0.6910196680458476,-0.5053200085185661,0.08571428571428573,1,0,1,-0.14698901252456917
0100MOU,6,1,1,1,Mugumo,-1.2096362109999999,36.79986477,0,0.07869116067266653,4279.27,4217.5,6212.200000000002,0,0,-0.692639915248366,matonwalk-6.csv,4279.27,4217.5,6212.200000000002,0,0,-0.6910196680458476,-0.5053200085185661,0.08571428571428573,1,0,1,-0.14698901252456917
0100MRB,6,1,1,1,Maramba Tea Factory,-1.134476,36.703497999999996,0,0.18976547418853754,4279.27,4217.5,6212.200000000002,0,0,-0.692639915248366,matonwalk-6.csv,4279.27,4217.5,6212.200000000002,0,0,-0.6910196680458476,-0.5053200085185661,0.08571428571428573,1,0,1,-0.14698901252456917
0100MRC,6,1,4,1,Movers/Rosslyn Centre,-1.210947633,36.79020882,0,0.08013217690728984,4279.27,4217.5,6212.200000000002,0,0,-0.692639915248366,matonwalk-6.csv,4279.27,4217.5,6212.200000000002,0,0,-0.6910196680458476,-0.5053200085185661,0.08571428571428573,1,0,1,-0.14698901252456917
0100MRC,7,1,1,1,Movers/Rosslyn Centre,-1.210947633,36.79020882,0,0.08013217690728984,3847.35,3883.0,5704.700000000003,0,0,-0.9065383511651587,matonwalk-7.csv,3847.35,3883.0,5704.700000000003,0,0,-0.7793413264325569,-0.5724245367841937,0.05714285714285715,1,0,1,0.41221370628727905
0100NAM,6,1,2,1,National Oil/Muchatha,-1.1934280000000002,36.777892,0,0.10093896711379478,4279.27,4217.5,6212.200000000002,0,0,-0.692639915248366,matonwalk-6.csv,4279.27,4217.5,6212.200000000002,0,0,-0.6910196680458476,-0.5053200085185661,0.08571428571428573,1,0,1,-0.14698901252456917
0100NCE,6,1,1,1,Container,-1.20452258,36.77553982,0,0.09186728589943643,4279.27,4217.5,6212.200000000002,0,0,-0.692639915248366,matonwalk-6.csv,4279.27,4217.5,6212.200000000002,0,0,-0.6910196680458476,-0.5053200085185661,0.08571428571428573,1,0,1,-0.14698901252456917
