stop_id,hour,is_weekday,trips_per_hour,peak_hour,stop_name,stop_lat,stop_lon
0110CEJ,6,1,1,1,Gacharage Junction,-1.20033,36.76062
0110COH,6,1,1,1,Gacharage Junction - Gachiraini Stage,-1.200470924,36.76059455
0110CUT,6,1,1,1,Karura Community Chapel,-1.215755707,36.79781556
0110DAS,6,1,1,1,Ridgeways Girls,-1.214993119,36.86438799
0110FRM,6,1,1,1,Muguku Farm,-1.17646,36.718384
0110FSA,6,1,1,1,Karura Forest/Belgian Embassy,-1.248370528,36.81659102
0110GAC,6,1,1,1,Gacharage,-1.192978352,36.74807936
0110GTH,6,1,2,1,Gathanga Stage/Kiambea,-1.198999,36.78444
0110HHH,6,1,1,1,JamhurI High,-1.272161007,36.82225585
0110HUN,6,1,1,1,5th parklands avenue,-1.260938644,36.82585001
0110IDR,6,1,1,1,City park drive,-1.257162094,36.82656348
0110ILU,6,1,1,1,Limuru Terminus,-1.108075708,36.64339274
0110IRT,6,1,7,1,Ngara,-1.274190277,36.82365865
0110IRT,7,1,2,1,Ngara,-1.274190277,36.82365865
0110ISR,6,1,1,1,Ruiru Prisons,-1.151870817,36.92952543
0110KAU,6,1,1,1,Kianjogu Stage,-1.180979,36.727015
0110KGQ,6,1,1,1,Highridge/Kwa Mosque/Mwisho,-1.256852478,36.81073576
0110KKB,6,1,1,1,Garage,-1.222414,36.780964
0110KRS,6,1,1,1,Karura Stage,-1.19437,36.73198
0110KSL,6,1,1,1,Nish Raaj Estate/Kusi Lane,-1.25864,36.81485
0110LAR,7,1,1,1,Rosslyn Riviera,-1.215369433,36.79668099
0110LCM,6,1,1,1,Decimal,-1.203015178,36.76999301
0110LHL,6,1,1,1,Full Gospel Church,-1.151017874,36.93746209
0110LIG,6,1,1,1,Kobil Gigiri,-1.239215791,36.81125343
0110LJA,6,1,1,1,Joyland,-1.204860538,36.77656978
0110MKT,6,1,1,1,Makutano,-1.159421,36.74364
0110MTS,6,1,3,1,Muthaiga Shopping Centre,-1.250537038,36.81984186
0110MTS,7,1,2,1,Muthaiga Shopping Centre,-1.250537038,36.81984186
0110MYA,6,1,1,1,City Park Market,-1.261573166,36.8257615
0110NGP,6,1,1,1,Ndenderu Redeemed Gospel,-1.19222,36.74442
0110NKT,6,1,1,1,Nakumatt Stage,-1.26018,36.81855
0110NSG,6,1,2,1,Ndenderu Stage,-1.1926,36.74685
0110OLB,6,1,1,1,Blue Kiosk,-1.154766083,36.67294264
0110OVL,7,1,1,1,3rd Parklands Avenue/Aga Kan Hospital Junction,-1.2632415,36.82506412
0110PBS,6,1,1,1,Bypass,-1.204483509,36.78551495
0110PMA,6,1,1,1,Stima Plaza,-1.269993782,36.82060361
0110PMT,6,1,2,1,Pm Flats,-1.20375,36.77257
0110R/B,6,1,2,1,Belgian Embassy/Karura,-1.246905327,36.81568444
0110REU,6,1,1,1,Rwenu,-1.194505692,36.73557758
0110REV,6,1,1,1,Two Rivers,-1.212894917,36.79242432
0110REV,7,1,1,1,Two Rivers,-1.212894917,36.79242432
0110RID,6,1,1,1,Windsor Advice,-1.215743423,36.84993625
0110RIS,6,1,1,1,Two Rivers,-1.211571425,36.79079086
0110RNO,6,1,1,1,Rossyln,-1.233918071,36.80209637
0110ROA,6,1,1,1,Wambugu Road,-1.268078685,36.82123929
0110ROS,6,1,1,1,Rosslyn Total,-1.210405827,36.78973138
0110RRS,6,1,2,1,Two Rivers,-1.214472055,36.79485977
0110RTC,7,1,1,1,Ruaka Quickmart,-1.206689805,36.78235799
0110RTU,6,1,1,1,Kobil/Regal house/6th Parklands ave,-1.258020401,36.82704628
0110SAI,6,1,1,1,Stima Plaza,-1.272611618,36.82100058
0110SIH,6,1,1,1,Gasolina/Gichagi Mwisho,-1.219559079,36.76671803
0110SOI,6,1,1,1,Mimosa,-1.212091684,36.8047142
0110SPU,6,1,1,1,St. Paul's University Limuru,-1.147694,36.665794
0110SRT,6,1,1,1,Marurui Police Post,-1.214639872,36.86785609
0110SSA,6,1,1,1,Canadian embassy,-1.241283417,36.81334019
0110TAA,6,1,1,1,Stima Plaza,-1.269752383,36.82057947
0110TOH,6,1,1,1,Githogoro,-1.216533512,36.82539135
0110TPA,6,1,4,1,3rd Parklands Avenue/Aga Kan Hospital Junction,-1.263229251,36.82507753
0110TPA,7,1,1,1,3rd Parklands Avenue/Aga Kan Hospital Junction,-1.263229251,36.82507753
0110TUQ,6,1,1,1,Equity,-1.205160946,36.77773386
0110TVM,6,1,2,1,Traveller's View Muchatha,-1.188491,36.771639
0110UMI,6,1,1,1,Mulima,-1.220399737,36.76975965
0110UMK,6,1,1,1,Mkulima supermarket,-1.175078809,36.75925076
0110UNA,6,1,3,1,UNEP/KTTC,-1.238032579,36.80994987
0110UNA,7,1,2,1,UNEP/KTTC,-1.238032579,36.80994987
0110VKS,6,1,1,1,2nd Parklands Avenue,-1.264834642,36.82441235
0110VMT,6,1,3,1,Village Market,-1.23006,36.80399
0110VMT,7,1,2,1,Village Market,-1.23006,36.80399
0110WAM,6,1,2,1,Kwa Jeki,-1.194574,36.779445
0110WOJ,6,1,1,1,Maziwa Junction,-1.193992227,36.90453798
0110WRS,6,1,1,1,Two Rivers,-1.208241641,36.79728448
0110YIL,6,1,2,1,OiLibya/2nd Parklands Avenue,-1.26424849,36.82468057
0110YSP,6,1,1,1,City Park/5th Parklands Avenue,-1.261085039,36.82602704
0111.OJ,6,1,1,1,O.J.,-1.153206557,36.92035228
0111.UK,6,1,1,1,K.U.,-1.174814433,36.9143039
01114IA,6,1,1,1,44 Githurai,-1.19544062,36.90279722
0111A26,6,1,1,1,Lane 26,-1.202558398,36.76809669
0111AAR,6,1,1,1,Ruaka,-1.207579493,36.78627133
0111ACP,6,1,1,1,Agha khan hospital junction/ 3rd parklands ave,-1.261894941,36.82537794
0111AES,6,1,1,1,Rosslyn Valley,-1.223200679,36.80257916
0111AIT,6,1,1,1,Muthaiga Mini Market,-1.250233166,36.82078838
0111AKA,7,1,1,1,Kwa Nyaga,-1.168398589,36.69651657
0111AKS,6,1,1,1,Aga Khan Hospital Stage,-1.26237,36.82369
0111ALA,6,1,1,1,Sahala,-1.20683468,36.79277837
0111AMB,6,1,2,1,Ambassadors Stage,-1.19859,36.75619
0111AMK,7,1,1,1,Kwa Mbao,-1.170485347,36.70516402
0111ARD,6,1,1,1,Kwa Daktari,-1.184670389,36.73256814
0111ATA,6,1,1,1,Total City Park,-1.259304017,36.82673782
0111AWM,6,1,1,1,Maziwa,-1.193209022,36.90509319
0111AXM,6,1,1,1,Maxx,-1.181895465,36.72843486
0111AYS,6,1,1,1,Gitambaya Police Post,-1.149767965,36.94896609
0111BAA,6,1,1,1,Banana Terminus,-1.174015,36.75884
0111BAG,6,1,1,1,ACK Thibigwa,-1.181042522,36.76208586
0111BEK,6,1,5,1,Belgian Embassy/Karura,-1.24701,36.8156
0111BPY,6,1,2,1,Bypass,-1.205770969,36.77934051
0111BUK,7,1,1,1,Kabuku Stage,-1.154742,36.674973
0111CEP,6,1,1,1,PCEA,-1.189026296,36.7375356
0111CNT,6,1,1,1,Container,-1.197221607,36.89955175
0111CRA,6,1,1,1,Car Wash,-1.21710754,36.77706063
0111EDH,7,1,1,1,The Dam,-1.170045465,36.70123726
0111EED,6,1,1,1,Ndenderu,-1.192216605,36.74356252
0111ENP,6,1,1,1,Dispenser,-1.190345943,36.73904836
0111EYE,6,1,1,1,Membley,-1.156393021,36.92510515
0111FRM,7,1,1,1,Muguku Farm/GD,-1.176554,36.718575
0111GIE,7,1,1,1,Sovereign,-1.16958949,36.70015901
0111GIM,6,1,1,1,Muthaiga Mini Market,-1.2501508,36.82074845
0111HDE,6,1,1,1,Shade,-1.193895668,36.74959213
0111HRT,7,1,1,1,Mothero,-1.166445136,36.69361711
0111IAC,7,1,1,1,Pa Machiri,-1.172893971,36.71205729
0111ICT,6,1,2,1,Quickmart,-1.206678271,36.78331017
0111IGA,6,1,1,1,Gacharaini,-1.201393604,36.76348329
